P,D,L,R,P_fuzzy_set,P_membership,D_fuzzy_set,D_membership,L_fuzzy_set,L_membership,R_fuzzy_set,R_membership,FRASE,CAT
0.001535901540467094,0.019074097288748385,0.22850880060716927,0.3441460842579198,ok,0.9961602461488323,sin cambio,0.9046295135562581,despacito hacia delante,0.6425440030358464,despacito hacia delante,0.7792695787104009,"cuando estén a la distancia que es, y ni te acercas o alejas de la pared, vas a girar la rueda izquierda despacito hacia adelante, y tu rueda derecha despacito hacía delante",8
0.020376439674498995,-0.013246844965938118,0.2211090229818754,0.29085373826810806,ok,0.9490589008137525,sin cambio,0.9337657751703095,despacito hacia delante,0.605545114909377,despacito hacia delante,0.9542686913405403,"cuando estén a la distancia que es, y ni te acercas o alejas de la pared, vas a girar la rueda izquierda despacito hacia adelante, y tu rueda derecha despacito hacía delante",8
0.48415567776511614,-0.7760600228305109,0.041204138611086676,0.3148777260059867,cerca,0.8597405370581398,alejandose,1.0,muy lento hacia delante,0.7060206930554334,despacito hacia delante,0.9256113699700665,"cuando estés cerca de la pared y te alejas de ella, debes girar tu rueda derecha medio rápido hacia adelante y la izquierda muy lento hacia atrás",14
-0.9051538972598374,-0.4822093137944212,0.9272625313780443,-0.5021578927474087,muy lejos,0.841923162099729,alejandose,1.0,muy rápido hacia delante,1.0,más o menos rápido hacia atrás,0.7446052681314783,"si te estás alejando de la pared y aún te encuentras muy lejos de ella, gira tu rueda izquierda muy rápido hacia delante y tu rueda derecha más o menos rápido hacia atrás",11
0.9410518481715269,0.6945582216159915,-0.346665178390509,-0.11985733165825393,muy cerca,0.9017530802858781,acercandose,1.0,despacito hacia atrás,0.5333482160949102,muy lento hacia atrás,0.9007133417087303,"si te estás acercando a la pared, pero ya estás muy cerca de ella, gira tu rueda izquierda y derecha despacito hacía atrás",5
0.017637402278316366,-0.5455970533393644,0.5782885644938238,-0.06645635530752121,ok,0.955906494304209,alejandose,1.0,rápidamente hacia delante,0.7828856449382384,muy lento hacia atrás,0.832281776537606,"si te estás alejando pared y estás a la distancia correcta, gira tu rueda derecha muy lento hacia atrás mientras la izquierda la giras rápidamente hacia delante",13
-0.4043328662898099,-0.28993418561853324,0.9102135130658301,-0.5494677540509492,lejos,0.9927785561836502,alejandose,1.0,muy rápido hacia delante,1.0,más o menos rápido hacia atrás,0.6263306148726272,"si estás lejos de la pared y te sigues alejando de ella, debes girar bastante rápido hacia adelante tu rueda izquierda y tu rueda derecha despacito hacia atrás",12
-0.4465591707711437,-0.02104050274305757,0.662613704781969,-0.1709645204051293,lejos,0.9224013820480939,sin cambio,0.8947974862847121,rápidamente hacia delante,0.6869314760901549,muy lento hacia atrás,0.6451773979743535,"cuando no te estés alejando ni acercando a la pared pero aún estás lejos, gira la rueda derecha muy lento hacía atrás y la izquierda rápidamente hacia adelante",7
0.996434820882669,0.036477984209195395,-0.2767375180432238,-0.24753959422199118,muy cerca,0.9940580348044483,sin cambio,0.817610078954023,despacito hacia atrás,0.8836875902161189,despacito hacia atrás,0.7376979711099558,"Cuando te encuentres muy cerca a la pared sin acercarte ni alejarte de ella, es necesario que gires despacito la rueda izquierda hacia atrás y la rueda derecha de la misma manera",10
-0.02508612424287774,-0.5128500304477821,0.6334567693288428,-0.09999969876563401,ok,0.9372846893928056,alejandose,1.0,rápidamente hacia delante,0.8327161533557862,muy lento hacia atrás,0.9985720740741001,"Cuando estés a la distancia requerida, pero te estás alejando de la pared, gira tu rueda izquierda rápidamente hacia delante, y gira tu rueda derecha muy lento hacia atrás.",13
